구별,살인 발생,강도 발생,강간 발생,절도 발생,폭력 발생
중구,2,3,105,1395 ,1355 
종로구,3,6,115,1070 ,1278 
중구,1,6,65,1153 ,869 
서대문구,2,5,154,1812 ,2056 
종로구,3,5,96,1114 ,1015 
용산구,5,14,194,1557 ,2050 
성북구,2,2,86,953 ,1194 
동대문구,5,13,173,1981 ,2548 
마포구,8,14,294,2555 ,2983 
영등포구,14,22,295,2964 ,3572 
성동구,4,9,126,1607 ,1612 
동작구,5,9,285,1865 ,1910 
광진구,4,14,240,3026 ,2625 
은평구,2,2,70,819 ,1192 
강북구,7,14,153,1434 ,2649 
금천구,3,6,151,1567 ,2054 
중랑구,13,11,187,2135 ,2847 
강남구,3,15,300,2411 ,2465 
관악구,9,12,320,2706 ,3298 
강서구,7,13,262,2096 ,3207 
강동구,4,6,156,2366 ,2712 
성북구,3,3,64,832 ,1015 
구로구,8,15,281,2335 ,3007 
서초구,7,8,334,1982 ,1852 
양천구,3,6,120,1890 ,2509 
송파구,11,13,220,3239 ,3295 
노원구,10,7,197,2193 ,2723 
서초구,1,1,59,653 ,547 
은평구,1,7,96,1095 ,1461 
도봉구,3,9,102,1063 ,1487 
강남구,10,6,149,1439 ,1819 
