no,자치구,소상공인,소기업,중기업,대기업,lat,lng
1,종로구,32778,36715,1202,107,37.575558,126.984867
2,중구,53454,58527,1919,254,37.509435,127.066958
3,용산구,15898,18356,1140,49,37.53871,126.965918
4,성동구,20893,24563,1348,27,37.561731,127.036381
5,광진구,19943,22785,660,13,37.542873,127.083821
6,동대문구,27394,30208,687,16,37.585061,127.045768
7,중랑구,24116,26345,365,4,37.618692,127.104714
8,성북구,19886,22062,428,2,37.589748,127.016135
9,강북구,15706,17454,287,1,37.637304,127.02734
10,도봉구,15428,16926,247,3,37.653359,127.052682
11,노원구,21561,24212,536,5,37.642524,127.071708
12,은평구,20589,22601,389,3,37.62836,126.928723
13,서대문구,15909,17881,481,17,37.564785,126.966776
14,마포구,26845,32543,1638,78,37.550814,126.954028
15,양천구,21155,23888,656,12,37.516567,126.865676
16,강서구,28302,33041,1336,47,37.539783,126.829997
17,구로구,30323,35219,1399,47,37.494931,126.886731
18,금천구,23354,28835,1604,54,37.456872,126.897043
19,영등포구,32944,38368,2143,153,37.517984,126.907506
20,동작구,15864,18064,457,15,37.513087,126.94285
21,관악구,21570,24267,496,6,37.474379,126.950975
22,서초구,31336,39425,3203,156,37.495605,127.00525
23,강남구,47681,61963,6097,408,37.509435,127.066958
24,송파구,35527,41737,2348,76,37.501906,127.127151
25,강동구,24651,27732,691,19,37.528511,127.126822
