자치구,lat,lng,살인 발생,강도 발생,강간 발생,절도 발생,폭력 발생
종로구,37.575558,126.984867,3,6,115,1070,1278
중구,37.509435,127.066958,2,3,105,1395,1355
용산구,37.53871,126.965918,5,14,194,1557,2050
성동구,37.561731,127.036381,4,9,126,1607,1612
광진구,37.542873,127.083821,4,14,240,3026,2625
동대문구,37.585061,127.045768,5,13,173,1981,2548
중랑구,37.618692,127.104714,13,11,187,2135,2847
성북구,37.589748,127.016135,2,2,86,953,1194
강북구,37.637304,127.02734,7,14,153,1434,2649
도봉구,37.653359,127.052682,3,9,102,1063,1487
노원구,37.642524,127.071708,10,7,197,2193,2723
은평구,37.62836,126.928723,2,2,70,819,1192
서대문구,37.564785,126.966776,2,5,154,1812,2056
마포구,37.550814,126.954028,8,14,294,2555,2983
양천구,37.516567,126.865676,3,6,120,1890,2509
강서구,37.539783,126.829997,7,13,262,2096,3207
구로구,37.494931,126.886731,8,15,281,2335,3007
금천구,37.456872,126.897043,3,6,151,1567,2054
영등포구,37.517984,126.907506,14,22,295,2964,3572
동작구,37.513087,126.94285,5,9,285,1865,1910
관악구,37.474379,126.950975,9,12,320,2706,3298
서초구,37.495605,127.00525,7,8,334,1982,1852
강남구,37.509435,127.066958,3,15,300,2411,2465
송파구,37.501906,127.127151,11,13,220,3239,3295
강동구,37.528511,127.126822,4,6,156,2366,2712
